"Time","Concentration","Legend","ResidualsLegend","Path","Group"
2.35,8.56820964813232,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
2.4,8.44914245605469,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
2.45,8.33177471160889,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
2.5,8.21608448028564,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
2.55,8.1020393371582,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
2.6,7.98961877822876,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
2.65,7.87879943847656,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
2.7,7.76955604553223,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
2.75,7.66186666488647,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
2.8,7.55570888519287,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
2.85,7.45105743408203,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
2.9,7.34788942337036,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
2.95,7.24618625640869,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
3,7.14592409133911,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
3.05,7.04707670211792,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
3.1,6.94962215423584,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
3.15,6.85355091094971,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
3.2,6.75883340835571,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
3.25,6.66544723510742,"Simulated Aciclovir Plasma (Aciclovir)","Aciclovir Plasma (Aciclovir)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood)"
