"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
5400,0.225572407245636,0.224009558558464,1.55488455953542,1.43043887474801,0.000206432290724479
5415,0.225673258304596,0.224115803837776,1.55565180763147,1.43114665971799,0.000207295524887741
5430,0.225771084427834,0.224218711256981,1.55639567735236,1.43183287182183,0.000208158817258663
5445,0.225866064429283,0.224318563938141,1.55711828784016,1.4324992063732,0.000209022065973841
5460,0.225958377122879,0.224415630102158,1.55782158870554,1.4331477401313,0.000209885256481357
5475,0.226048186421394,0.224510177969933,1.55850710573079,1.43377986325332,0.000210748316021636
5490,0.22613562643528,0.224602416157722,1.55917663594838,1.43439705913871,0.000211611215490848
5505,0.226220816373825,0.224692523479462,1.55983138303099,1.43500053993671,0.000212473925785162
5520,0.22630387544632,0.224780693650246,1.56047241502621,1.43559137369492,0.000213336388696916
5535,0.226384907960892,0.224867060780525,1.56110107123183,1.43617060303124,0.000214198618778028
5550,0.226464033126831,0.224951758980751,1.5617178432888,1.43673911798532,0.00021506060147658
5565,0.226541295647621,0.225034922361374,1.56232390096354,1.4372974186747,0.000215922322240658
5580,0.226616814732552,0.225116640329361,1.56291985456896,1.43784650533442,0.000216783795622177
5595,0.226690664887428,0.225196987390518,1.56350617879288,1.43838657292555,0.000217645021621138
5610,0.226762890815735,0.225276052951813,1.56408346699508,1.43891835890953,0.00021850602934137
5625,0.226833567023277,0.225353911519051,1.564652024332,1.43944229559133,0.000219366833334789
5640,0.226902768015862,0.225430607795715,1.56521257978852,1.43995856945546,0.000220227462705225
5655,0.22697052359581,0.225506186485291,1.56576516727092,1.44046746870524,0.000221087946556509
5670,0.227036908268929,0.22558069229126,1.56631007498251,1.44096943412222,0.000221948299440555
5685,0.227101966738701,0.225654155015945,1.5668475911266,1.44146449113609,0.000222808579565026
5700,0.227165743708611,0.225726619362831,1.56737790218771,1.4419530550987,0.000223668816033751
5715,0.227228283882141,0.225798100233078,1.56790114379092,1.4424350073381,0.000224529023398645
5730,0.227289617061615,0.225868612527847,1.56841745156132,1.44291050043252,0.00022538925986737
5745,0.227349787950516,0.225938186049461,1.56892697807715,1.44337980563213,0.00022624951088801
5760,0.227408841252327,0.22600682079792,1.56942974029154,1.44384294836665,0.000227109849220142
5775,0.220960825681686,0.2059585750103,1.60427316560921,1.47108625718673,0.000227970260311849
5790,0.221919775009155,0.213501214981079,1.66406992941209,1.52675040577804,0.000228830773266964
5805,0.222504690289497,0.217914536595345,1.70014511876438,1.56207404563863,0.0002296914026374
5820,0.222934916615486,0.219970285892487,1.71695230565683,1.57867123402994,0.000230552148423158
5835,0.223279654979706,0.220978155732155,1.72511576640189,1.58664631152283,0.000231413010624237
5850,0.223569855093956,0.221559956669807,1.72978048970702,1.59112799181379,0.000232274003792554
5865,0.223822101950645,0.221958100795746,1.73295091270657,1.59413025665294,0.000233135157031938
5880,0.224046304821968,0.222267001867294,1.73540352295594,1.59643052601822,0.00023399647034239
5895,0.224248886108398,0.222525984048843,1.73745903989037,1.59834755278105,0.00023485800193157
5910,0.224434226751328,0.222753003239632,1.73926232806079,1.60002392977205,0.000235719766351394
5925,0.22460550069809,0.222957223653793,1.74088677759487,1.60153138571152,0.000236581821809523
5940,0.224765002727509,0.223143875598907,1.74237414406765,1.60290984523579,0.000237444211961702
5955,0.224914535880089,0.22331628203392,1.7437503149185,1.60418424640857,0.000238306965911761
5970,0.22505547106266,0.223476737737656,1.74503327742518,1.60537169494452,0.000239170112763532
5985,0.225188910961151,0.223626971244812,1.74623661104998,1.60648490569598,0.000240033667068928
6000,0.225315734744072,0.223768308758736,1.74737048767477,1.60753338937251,0.000240897628827952
6015,0.225436687469482,0.223901823163033,1.74844324824268,1.60852504613567,0.000241762012592517
6030,0.22555236518383,0.224028408527374,1.74946182658652,1.60946633513045,0.000242626774706878
6045,0.225663304328918,0.224148809909821,1.75043227497599,1.61036283393875,0.000243491915171035
6060,0.225769907236099,0.224263682961464,1.75135942505498,1.61121922162622,0.000244357361225411
6075,0.225872561335564,0.224373608827591,1.75224778635778,1.6120394652268,0.000245223083766177
6090,0.225971579551697,0.22447906434536,1.75310117334011,1.61282741310245,0.000246089039137587
6105,0.226067259907722,0.224580481648445,1.75392302748864,1.61358598119264,0.000246955140028149
6120,0.22615984082222,0.224678263068199,1.75471636646168,1.61431803457743,0.000247821357334033
6135,0.226249530911446,0.224772766232491,1.75548391971419,1.61502625185238,0.000248687603743747
6150,0.226336523890495,0.224864259362221,1.75622809459154,1.61571263348759,0.000249553821049631
6165,0.226420983672142,0.224953055381775,1.75695101023579,1.61637940034394,0.000250419980147853
6180,0.22650308907032,0.225039392709732,1.75765459930449,1.61702824773507,0.000251285993726924
6195,0.226582959294319,0.225123465061188,1.75834055711129,1.61766066753698,0.000252151832683012
6210,0.226660713553429,0.22520549595356,1.75901039248533,1.61827816857882,0.000253017467912287
6225,0.226736471056938,0.22528563439846,1.75966542777126,1.61888193758014,0.000253882812103257
6240,0.226810336112976,0.225364029407501,1.76030678187608,1.6194730764948,0.000254747923463583
6255,0.226882413029671,0.225440844893456,1.76093559065992,1.62005260251101,0.000255612714681774
6270,0.226952776312828,0.22551617026329,1.76155280349844,1.62062129547303,0.000256477214861661
6285,0.227021485567093,0.225590124726295,1.76215916632964,1.62118001999081,0.000257341394899413
6300,0.227088660001755,0.225662797689438,1.76275527251329,1.62172926770533,0.00025820528389886
6315,0.227154314517975,0.225734248757362,1.76334190189366,1.62226963197635,0.000259068881860003
6330,0.227218553423882,0.225804567337036,1.76391934267408,1.62280170616365,0.000259932188782841
6345,0.227281406521797,0.225873798131943,1.76448834079256,1.62332581237682,0.000260795262875035
6360,0.227342948317528,0.225942000746727,1.76504904882731,1.62384237444427,0.000261658133240417
6375,0.227403208613396,0.226009219884872,1.76560178888793,1.6243515788505,0.000262520799878985
6390,0.227462247014046,0.22607547044754,1.76614700175597,1.6248536968457,0.00026338329189457
6405,0.227520108222961,0.226140812039375,1.76668482305653,1.62534905053946,0.000264245696598664
6420,0.227576822042465,0.226205259561539,1.76721528669586,1.62583777555687,0.000265107984887436
6435,0.227632448077202,0.22626881301403,1.76773881650239,1.62631988885107,0.000265970214968547
6450,0.227686986327171,0.226331517100334,1.76825541247612,1.62679566167224,0.000266832415945828
6465,0.227740496397018,0.226393386721611,1.76876510852331,1.62726526355174,0.000267694616923109
6480,0.227793008089066,0.226454421877861,1.76926815894101,1.62772842323939,0.00026855684700422
6495,0.221978813409805,0.208374127745628,1.80411909449813,1.65497101155118,0.000269419135292992
6510,0.222841858863831,0.215172991156578,1.86393172643672,1.71063419381371,0.000270281481789425
6525,0.223368287086487,0.219150394201279,1.9000155618886,1.7459574607053,0.000271143886493519
6540,0.22375550866127,0.221002489328384,1.91682647847106,1.76255324198628,0.000272006407612935
6555,0.22406579554081,0.221910297870636,1.92499117679508,1.77052831947918,0.000272868986940011
6570,0.224326997995377,0.222434222698212,1.92965651041313,1.77501015234835,0.000273731653578579
6585,0.224554032087326,0.222792685031891,1.93282723856913,1.77801256976574,0.0002745944657363
6600,0.224755838513374,0.22307077050209,1.93528015397496,1.78031299170925,0.000275457394309342
6615,0.224938184022903,0.223303928971291,1.93733584044076,1.7822301710503,0.000276320526609197
6630,0.225105002522469,0.223508298397064,1.9391394168145,1.78390668366639,0.000277183833532035
6645,0.22525916993618,0.223692134022713,1.94076417150503,1.78541429218409,0.000278047431493178
6660,0.225402742624283,0.223860174417496,1.94225167360291,1.78679292123973,0.000278911320492625
6675,0.225537344813347,0.224015384912491,1.94362801398512,1.78806745803759,0.000279775558738038
6690,0.22566419839859,0.224159836769104,1.94491126469512,1.78925519477687,0.000280640146229416
6705,0.225784301757812,0.224295094609261,1.94611475089815,1.79036842248147,0.00028150511207059
6720,0.22589847445488,0.224422335624695,1.94724878010117,1.79141705873622,0.00028237045626156
6735,0.226007342338562,0.224542528390884,1.9483216932473,1.79240886807761,0.000283236207906157
6750,0.226111471652985,0.224656492471695,1.94934057674759,1.79335029269748,0.000284102308796719
6765,0.226211324334145,0.224764883518219,1.95031102513706,1.79424694408401,0.000284968758933246
6780,0.226307287812233,0.224868312478065,1.95123846341937,1.79510350130285,0.000285835500108078
6795,0.226399689912796,0.224967271089554,1.95212699425354,1.79592386357538,0.000286702474113554
6810,0.226488828659058,0.22506220638752,1.95298051686096,1.79671182840416,0.000287569651845843
6825,0.226574957370758,0.225153520703316,1.95380252358772,1.79747054907258,0.000288437004201114
6840,0.226658284664154,0.225241556763649,1.95459601513899,1.7982027550356,0.000289304385660216
6855,0.226739019155502,0.225326627492905,1.95536372096972,1.79891112488878,0.000290171825326979
6870,0.226817324757576,0.225409016013145,1.9561080484253,1.79959764214909,0.000291039177682251
6885,0.226893365383148,0.225488945841789,1.95683109969464,1.80026456158366,0.000291906471829861
6900,0.226967260241508,0.225566670298576,1.95753485829471,1.80091342592792,0.000292773591354489
6915,0.227039158344269,0.225642368197441,1.95822096867974,1.80154598135492,0.000293640507152304
6930,0.227109149098396,0.225716218352318,1.95889093967887,1.80216363497499,0.000294507190119475
6945,0.227177351713181,0.225788354873657,1.95954599191793,1.80276755655454,0.000295373611152172
6960,0.227243840694427,0.225858941674232,1.96018761727293,1.8033588310943,0.000296239712042734
6975,0.227308720350266,0.225928097963333,1.96081645996305,1.80393837406364,0.000297105521894991
6990,0.227372050285339,0.225995913147926,1.96143380842667,1.80450720265075,0.000297970982501283
7005,0.227433905005455,0.22606249153614,1.96204030688295,1.80506594412167,0.000298836152069271
7020,0.22749437391758,0.226127907633781,1.96263644697287,1.80561534441442,0.000299700972391292
7035,0.227553471922874,0.226192235946655,1.96322321197834,1.80615584431053,0.00030056550167501
7050,0.227611303329468,0.226255536079407,1.96380080533699,1.80668793545096,0.000301429739920422
7065,0.227667883038521,0.226317867636681,1.96436993908055,1.80721217728922,0.000302293716231361
7080,0.227723270654678,0.226379260420799,1.96493066406844,1.80772875630981,0.000303157430607826
7095,0.227777525782585,0.226439774036407,1.96548369233239,1.80823809634114,0.000304020970361307
7110,0.227830663323402,0.226499423384666,1.96602890520043,1.80874036691457,0.000304884306387976
7125,0.227882757782936,0.226558238267899,1.96656674345412,1.80923572060833,0.000305747525999323
7140,0.227933809161186,0.226616248488426,1.96709747834364,1.80972444562574,0.000306610600091517
7155,0.227983862161636,0.226673468947411,1.96762100815017,1.81020684712325,0.000307473645079881
7170,0.22803296148777,0.226729914546013,1.96813762107703,1.81068263689756,0.000308336602756754
7185,0.22808113694191,0.226785600185394,1.96864745274931,1.81115223877706,0.000309199589537457
7200,0.228128403425217,0.226840540766716,1.96915052012015,1.81161555104294,0.000310062547214329
7215,0.222797617316246,0.210364580154419,2.00401901912663,1.838859292168,0.000310925563098863
7230,0.223582208156586,0.216539844870567,2.06385816577061,1.89452374591576,0.000311788608087227
7245,0.224060788750648,0.22015281021595,2.09995615709142,1.92984769093281,0.000312651740387082
7260,0.224412813782692,0.221835449337959,2.116772803834,1.94644516752744,0.000313514930894598
7275,0.224694907665253,0.22266036272049,2.12493938395617,1.9544204145517,0.000314378179609776
7290,0.224932372570038,0.223136514425278,2.1296054974185,1.95890238304597,0.000315241515636444
7305,0.225138783454895,0.223462328314781,2.13277668330918,1.96190495304158,0.000316104968078434
7320,0.225322246551514,0.223715126514435,2.13522975129323,1.96420551061018,0.000316968536935747
7335,0.225488007068634,0.223927050828934,2.13728557338412,1.96612257127928,0.000317832251312211
7350,0.225639685988426,0.224112838506699,2.13908931928923,1.96779921952047,0.000318696198519319
7365,0.225779831409454,0.224279969930649,2.14071420960485,1.96930698061639,0.000319560378557071
7380,0.225910365581512,0.224432706832886,2.142201745609,1.97068560967203,0.000320424849633127
7395,0.226032733917236,0.22457380592823,2.1435783572414,1.97196029904812,0.000321289611747488
7410,0.226148054003716,0.224705129861832,2.14486162490453,1.9731479001623,0.000322154752211645
7425,0.226257249712944,0.224828079342842,2.14606524673265,1.974261263492,0.000323020271025598
7440,0.226361036300659,0.224943742156029,2.1471994285139,1.97530991669988,0.000323886168189347
7455,0.22646002471447,0.225053012371063,2.14827249423827,1.97630184471323,0.000324752414599061
7470,0.226554691791534,0.225156605243683,2.14929137773856,1.97724343886447,0.000325619039358571
7485,0.226645469665527,0.225255146622658,2.15026211433134,1.978140090251,0.000326485984260216
7500,0.226732715964317,0.22534915804863,2.1511894339417,1.9789966305167,0.000327353191096336
7515,0.226816728711128,0.225439116358757,2.15207810040096,1.9798170266955,0.000328220659866929
7530,0.2268977612257,0.225525423884392,2.1529317755866,1.98060512714938,0.000329088303260505
7545,0.226976066827774,0.225608438253403,2.15375391793846,1.98136384781779,0.000329956092173234
7560,0.227051824331284,0.225688472390175,2.15454756206795,1.98209618940591,0.000330823939293623
7575,0.227125227451324,0.22576579451561,2.15531526789869,1.98280455925909,0.000331691786414012
7590,0.227196425199509,0.22584068775177,2.15605974793249,1.98349109347253,0.000332559575326741
7605,0.227265551686287,0.225913360714912,2.15678281615497,1.9841580129071,0.000333427276927978
7620,0.22733274102211,0.225984022021294,2.15748671038013,1.98480701287645,0.000334294803906232
7635,0.227398097515106,0.226052835583687,2.15817282076516,1.98543958525659,0.000335162127157673
7650,0.227461725473404,0.226119965314865,2.15884280871743,1.98605722192352,0.00033602918847464
7665,0.227523729205132,0.226185545325279,2.15949799658158,1.98666116045621,0.000336895987857133
7680,0.227584183216095,0.226249724626541,2.16013963888972,1.98725243499597,0.000337762467097491
7695,0.227643176913261,0.226312577724457,2.16076861720493,1.9878321135904,0.000338628626195714
7710,0.227700755000114,0.226374238729477,2.16138596566854,1.98840094217751,0.000339494465151802
7725,0.22775699198246,0.226434752345085,2.16199248107797,1.98895983622666,0.000340359954861924
7740,0.227811962366104,0.22649422287941,2.16258889241807,1.98950923651941,0.000341225124429911
7755,0.227865695953369,0.226552709937096,2.16317552179845,1.99004975336865,0.000342089973855764
7770,0.227918267250061,0.226610258221626,2.16375325078219,1.99058198013418,0.000342954532243311
7785,0.227969706058502,0.226666912436485,2.16432240147889,1.99110608634735,0.000343818828696385
7800,0.228020071983337,0.226722732186317,2.16488326209187,1.99162280099303,0.000344682863214985
7815,0.228069394826889,0.226777747273445,2.16543615473072,1.99213214102435,0.000345546694006771
7830,0.228117704391479,0.22683197259903,2.16598152017699,1.99263441159778,0.000346410350175574
7845,0.228165060281754,0.226885437965393,2.16651949405577,1.99312991786977,0.000347273860825226
7860,0.228211477398872,0.226938173174858,2.1670500933202,1.99361864288718,0.000348137225955725
7875,0.228256985545158,0.226990208029747,2.16757377570496,1.99410089180647,0.000349000532878563
7890,0.228301629424095,0.227041512727737,2.16809052425691,1.994576834159,0.00034986378159374
7905,0.228345423936844,0.227092146873474,2.16860035592919,1.9950464360385,0.000350727030308917
7920,0.228388398885727,0.227142095565796,2.16910342330003,1.99550988392947,0.000351590279024094
7935,0.223471835255623,0.212011635303497,2.20399864044955,2.02275291302281,0.000352453527739272
7950,0.224191054701805,0.217669099569321,2.26387462625902,2.07841672255138,0.00035331686376594
7965,0.224629744887352,0.220979332923889,2.29999155423324,2.11374043022452,0.000354180228896439
7980,0.224952444434166,0.222521156072617,2.31681491441785,2.13033665228706,0.000355043652234599
7995,0.225211024284363,0.223277106881142,2.32498417313558,2.13831174673309,0.00035590713378042
8010,0.225428700447083,0.223713502287865,2.3296513546455,2.14279373218049,0.000356770731741562
8025,0.225617915391922,0.224012121558189,2.33282299827087,2.14579628522297,0.000357634387910366
8040,0.225786089897156,0.224243834614754,2.33527637141138,2.1480968597447,0.000358498189598322
